School Name,URL,School Size,Longitude,Latitude,Word1,Word2,Word3,Word4,Word5
Princeton,https://www.facebook.com/puniconfessions/,"8,374",40.3431,74.6551,,,,,
Princeton,https://www.facebook.com/PrincetonClassConfessions/,,,,,,,,
Harvard,https://www.facebook.com/Harvardconfessnow/,"20,739",42.377,71.1167,,,,,
Columbia,https://www.facebook.com/columbiaconfessionz/,"33,032",40.8075,73.9626,,,,,
MIT,https://www.facebook.com/beaverconfessions/,"11,520",42.3601,71.0942,,,,,
Yale,https://www.facebook.com/yaliesconfess/,"13,433",41.3163,72.9223,,,,,
Stanford,https://www.facebook.com/Stanford-Confessions-372644179500230/,"17,249",37.4275,122.1697,,,,,
Stanford,https://www.facebook.com/stanfordclassconfessions/,,,,,,,,
UChicago,https://www.facebook.com/UChicagoDisabilityConfessions/,"16,445",41.7886,87.5987,,,,,
UPenn,https://www.facebook.com/Penn-Confessions-675231812539118/,"21,960",39.9522,75.1932,,,,,
Northwestern,https://www.facebook.com/NU-Crushes-and-Confessions-1871340262900441/,"21,208",30.6156,42.055984,,,,,
JHU,https://www.facebook.com/hopkinsconfessions/?__tn__=%2Cd%2CP-R&eid=ARBorX_4s5AuZ4a3pxgblQPQACUcGLypAYogWFBaKzw_nkB0ZQJXMY-RitZ2fB-nQdvH6CWkltrYfT2I,"21,208",,,,,,,
Caltech,https://www.facebook.com/caltechconfessions/,"2,233",,,,,,,
Dartmouth,https://www.facebook.com/DartmouthClassConfessions/,"6,571",,,,,,,
Brown,https://www.facebook.com/BrownUConfessions/,"10,257",,,,,,,
Brown,https://www.facebook.com/brownclassconfessions/,,,,,,,,
Notre Dame,https://www.facebook.com/NotreDameConfession/,"12,292",,,,,,,
Vanderbilt,https://www.facebook.com/VandyConfessions/?__tn__=%2Cd%2CP-R&eid=ARAusDPy_GNiLIBuT_QlZ0w5hBIG9fgI4uzskmYlyblAYfIbSMgMNsFXPQGZu4ujRZnx-ZYE_Z53kPgQ,"13,131",,,,,,,
Cornell,https://www.facebook.com/BigRedConfessions/,"15,043",,,,,,,
Cornell,https://www.facebook.com/cornellclassconfessions/,,,,,,,,
Rice,https://www.facebook.com/RiceConfess/,"7,124",,,,,,,
Wash U,https://www.facebook.com/WashUConfessions/,"15,045",,,,,,,
Berkeley,https://www.facebook.com/berkeleyconfessions/,"43,204",,,,,,,
Emory,https://www.facebook.com/EmoryClassConfessions/,"15,451",,,,,,,
Georgetown,https://www.facebook.com/Georgetown-Confessions-409149419153181/,"19,005",,,,,,,
Carnegie Mellon,https://www.facebook.com/confessatcarnegiemellon/?__tn__=%2Cd%2CP-R&eid=ARDUOuUsoVJ1F6xky7TGK9uWeyEGTOZn31pThCli3ezPMkHX_Sz8sc9x5VUclhK02P-sCF7ckrQzOVIV,,,,,,,,
Carnegie Mellon,https://www.facebook.com/CarnegieConfessions/,,,,,,,,
